"Ticket","Open Time","Symbol","Volume","Type","Open Price","Close Time","Close Price","Profit","Status"
"39389","2025-05-28 14:08:59","XAUUSD","0.01","1","3306","2025-05-28 16:15:31","3297","8.5800000000","CLOSED"
"39394","2025-05-28 14:11:23","XAUUSD","0.06","1","3305","2025-05-28 16:15:29","3297","45.1800000000","CLOSED"
"44922","2025-06-06 13:28:41","XAUUSD","0.1","1","3354","2025-06-06 14:10:04","3339","153.4000000000","CLOSED"
"46199","2025-06-09 14:14:08","XAUUSD","0.01","0","3325","2025-06-09 14:14:15","3326","0.8000000000","CLOSED"
"46219","2025-06-09 14:19:38","EURUSD","0.01","0","1.14083","2025-06-09 14:25:07","1.14028","-0.5500000000","CLOSED"
"46216","2025-06-09 14:18:19","XAUUSD","0.06","0","3321","2025-06-09 18:12:34","3336","87.3600000000","CLOSED"
"46229","2025-06-09 14:25:03","EURUSD","0.35","0","1.13981","2025-06-09 18:11:13","1.1423","87.1500000000","CLOSED"
"47759","2025-06-11 14:19:04","XAUUSD","0.06","1","3342","2025-06-11 18:13:15","3340","14.3400000000","CLOSED"
"53294","2025-06-23 01:49:40","XAUUSD","0.05","0","3357.08","2025-06-23 13:55:03","3386.33","146.2500000000","CLOSED"
